# 总词数: 487831
# 词汇表大小: 218120
# 格式: 词语	频次	频率
#==================================================
vt 不 df	182	0.000373
n wj 19980107	182	0.000373
n 也 d	181	0.000371
的 ud wyz	180	0.000369
m 人 n	177	0.000363
m 种 qz	175	0.000359
n 们 k	171	0.000351
t 在 p	170	0.000348
n 对 p	168	0.000344
wj 这 rz	166	0.000340
这 rz 一	165	0.000338
wd 使 vt	165	0.000338
新 a 的	164	0.000336
的 ud wd	164	0.000336
m 名 qe	164	0.000336
n wj 19980108	164	0.000336
wj 年 t	163	0.000334
n 都 d	159	0.000326
d 在 p	157	0.000322
vt wm wyz	157	0.000322
n 发展 vt	153	0.000314
iv 的 ud	153	0.000314
党 n 的	152	0.000312
时 Ng wd	151	0.000310
rz 是 vl	150	0.000307
wd 对 p	148	0.000303
一 m 年	147	0.000301
shang5 f wd	147	0.000301
b 的 ud	144	0.000295
n wd 在	143	0.000293
m 在 p	141	0.000289
vq 了 ul	141	0.000289
n 经济 n	139	0.000285
m 美元 qd	139	0.000285
wd 就 d	138	0.000283
n 就 d	137	0.000281
vt 好 a	136	0.000279
nt 的 ud	136	0.000279
讯 Ng w	136	0.000279
m 位 qe	136	0.000279
下 f wd	134	0.000275
vt 新 a	133	0.000273
vt 后 f	133	0.000273
m 条 qe	133	0.000273
n wd 是	131	0.000269
rz 的 ud	130	0.000266
wd 而 c	130	0.000266
m 是 vl	129	0.000264
wd 年 t	128	0.000262
n wyy wd	128	0.000262
m 据 p	128	0.000262
vt 万 m	128	0.000262
wd 我们 rr	127	0.000260
m 国 n	127	0.000260
n wyy wj	127	0.000260
发展 vt 的	126	0.000258
n 将 d	126	0.000258
这 rz 是	125	0.000256
m 家 qe	125	0.000256
vt 中国 ns	124	0.000254
n 已 d	124	0.000254
n 进行 vx	123	0.000252
的 ud 发展	122	0.000250
ud 发展 vn	122	0.000250
n 里 f	121	0.000248
nt 副 b	120	0.000246
年 t wd	118	0.000242
说 vt wm	118	0.000242
vn 部门 n	118	0.000242
元 qd wd	118	0.000242
n wj 在	117	0.000240
一 m 种	117	0.000240
n 市场 n	116	0.000238
就 d 是	115	0.000236
vl 一 m	114	0.000234
m 年 t	113	0.000232
qt 的 ud	113	0.000232
19980106 02 001	113	0.000232
n 与 p	112	0.000230
vn 中 f	111	0.000228
vq 的 ud	111	0.000228
dc 是 vl	110	0.000225
了 ul 一	109	0.000223
ul 一 m	109	0.000223
n 干部 n	108	0.000221
vn 工作 vn	107	0.000219
vt 一个 mq	107	0.000219
了 ul m	107	0.000219
m 张 qe	106	0.000217
了 y wd	106	0.000217
p 中国 ns	106	0.000217
n 下 f	105	0.000215
wd 我 rr	104	0.000213
中 f 的	104	0.000213
vt 这 rz	104	0.000213
n wd 并	103	0.000211
看 kan4 vt	103	0.000211
nrg 报道 vt	103	0.000211
报道 vt wm	103	0.000211
n 时 Ng	103	0.000211
wd 不 df	103	0.000211
m 项 qe	102	0.000209
c 在 p	102	0.000209
n 企业 n	102	0.000209
n nt 的	101	0.000207
vn 人员 n	101	0.000207
vt 起 vq	101	0.000207
vt 亿 m	101	0.000207
应 ying1 vu	101	0.000207
rr 说 vt	100	0.000205
不 df 是	100	0.000205
df 是 vl	100	0.000205
月 t wd	99	0.000203
周 nrf 恩来	99	0.000203
nrf 恩来 nrg	99	0.000203
ns 人民 n	98	0.000201
dc 多 a	98	0.000201
vt 我们 rr	97	0.000199
vn 企业 n	97	0.000199
d 要 vu	97	0.000199
m 的 ud	97	0.000199
万 m 元	97	0.000199
qt 来 f	96	0.000197
n 还 d	96	0.000197
wd 把 p	96	0.000197
s 的 ud	96	0.000197
vt 于 p	96	0.000197
有 vt m	96	0.000197
m 大 a	96	0.000197
vt 过 uo	96	0.000197
n 结构 n	96	0.000197
wd 中国 ns	95	0.000195
年 qt 来	95	0.000195
d 会 vu	95	0.000195
n wj 他	95	0.000195
w 记者 n	95	0.000195
n 及 c	95	0.000195
日 t wd	94	0.000193
d 能 vu	94	0.000193
vt 上 vq	94	0.000193
自己 rr 的	94	0.000193
大 a 的	94	0.000193
n 问题 n	94	0.000193
两 m 国	94	0.000193
n 与 c	93	0.000191
vt 经济 n	93	0.000191
m 天 qt	93	0.000191
n wj wkz	93	0.000191
n 内 f	93	0.000191
wd 从 p	93	0.000191
vt 企业 n	92	0.000189
n w wkz	91	0.000187
n 说 vt	91	0.000187
p 此 rz	91	0.000187
vn 活动 vn	91	0.000187
公司 n nt	91	0.000187
vt 得 ue	90	0.000184
m 届 qe	90	0.000184
是 vl 一	90	0.000184
n wj wyy	90	0.000184
的 ud 是	90	0.000184
ud 是 vl	90	0.000184
n wd 也	90	0.000184
了 y wj	90	0.000184
n 关系 n	89	0.000182
n 要 vu	89	0.000182
vt 人 n	89	0.000182
vt wd 在	89	0.000182
vx 了 ul	89	0.000182
wj 19980106 02	89	0.000182
nrg 等 u	88	0.000180
vt 为 vl	88	0.000180
df 能 vu	88	0.000180
本报 rz 讯	88	0.000180
rz 讯 Ng	88	0.000180
n 管理 vn	88	0.000180
ns 和 c	87	0.000178
lv 的 ud	87	0.000178
wd 要 vu	87	0.000178
m 岁 qt	86	0.000176
vt 自己 rr	86	0.000176
亿 m 元	86	0.000176
nrf 泽民 nrg	85	0.000174
wd 以 p	85	0.000174
不 df 能	85	0.000174
vt 了 y	85	0.000174
问题 n wd	84	0.000172
江 nrf 泽民	83	0.000170
n wd 以	83	0.000170
工作 vn wd	83	0.000170
shang5 f 的	83	0.000170
w wkz 记者	83	0.000170
wkz 记者 n	83	0.000170
地方 di4fang1 n	83	0.000170
n 最 dc	83	0.000170
p 这 rz	82	0.000168
北京 ns 月	82	0.000168
rr 在 p	81	0.000166
n wyy 的	81	0.000166
m 新华社 nt	81	0.000166
vt 市场 n	81	0.000166
亿 m 美元	81	0.000166
n 之 u	81	0.000166
n 有 vt	81	0.000166
qd 的 ud	81	0.000166
m 户 qe	81	0.000166
n 产业 n	81	0.000166
wj 我们 rr	80	0.000164
里 f wd	80	0.000164
摄 Vg wky	79	0.000162
vt 对 p	79	0.000162
vt 党 n	78	0.000160
wd 他们 rr	78	0.000160
nrg 摄 Vg	77	0.000158
wd 有 vt	77	0.000158
wd 一 m	77	0.000158
银行 n nt	77	0.000158
n 为 wei4	76	0.000156
企业 n 的	76	0.000156
n wd 使	76	0.000156
vn wj 19980106	76	0.000156
年 qt wd	75	0.000154
工作 vn 的	75	0.000154
他 rr 说	75	0.000154
不 df 同	75	0.000154
n wj 年	75	0.000154
nt 记者 n	74	0.000152
政府 n nt	74	0.000152
ns 等 u	74	0.000152
也 d 是	74	0.000152
p 新华社 nt	74	0.000152
df 同 vt	74	0.000152
n wj 19980104	74	0.000152
vt 图片 n	73	0.000150
dc 好 a	73	0.000150
指出 vt wd	73	0.000150
n 后 f	73	0.000150
vt 两 m	73	0.000150
n wj 19980103	73	0.000150
n 集团 n	73	0.000150
图片 n m	72	0.000148
据 p 新华社	72	0.000148
n 达 vt	72	0.000148
wd 而且 c	72	0.000148
元 qd wj	72	0.000148
wkz 附 vt	71	0.000146
附 vt 图片	71	0.000146
n m 张	71	0.000146
张 qe wky	71	0.000146
n wd 为	71	0.000146
vt 群众 n	71	0.000146
的 ud 工作	71	0.000146
c 是 vl	71	0.000146
的 ud 新	70	0.000143
ud 新 a	70	0.000143
l 的 ud	70	0.000143
两 m 个	70	0.000143
的 ud 重要	70	0.000143
ud 重要 a	70	0.000143
nrg 的 ud	70	0.000143
n 公司 n	70	0.000143
wyy wu wyz	69	0.000141
n wj 19980101	69	0.000141
vn 与 c	69	0.000141
n wky wd	69	0.000141
n 所 us	69	0.000141
c 不 df	69	0.000141
一 m 位	69	0.000141
wd 还 d	69	0.000141
nt 和 c	68	0.000139
重要 a 的	68	0.000139
了 ul wyz	68	0.000139
wd 我国 rz	68	0.000139
领导 n 干部	68	0.000139
工作 vn wj	68	0.000139
有 的 rz	68	0.000139
vt m 个	68	0.000139
vt 其 rz	68	0.000139
去年 t 月	68	0.000139
vt 中 f	67	0.000137
的 ud 基础	67	0.000137
ud 基础 n	67	0.000137
nrg 在 p	67	0.000137
达 vt m	67	0.000137
问题 n wj	67	0.000137
ns 国家 n	67	0.000137
vt 他 rr	67	0.000137
认为 vt wd	67	0.000137
经济 n 的	66	0.000135
vt m 多	66	0.000135
最 dc 大	66	0.000135
p 我们 rr	66	0.000135
wd 以 c	66	0.000135
新华社 nt 记者	65	0.000133
d 有 vx	65	0.000133
wd 都 d	65	0.000133
方面 n 的	65	0.000133
n 而 c	65	0.000133
dc 高 a	65	0.000133
002 m 新华社	65	0.000133
来 f wd	65	0.000133
n 价格 n	65	0.000133
ad 发展 vt	64	0.000131
ud 工作 vn	64	0.000131
vt 他们 rr	64	0.000131
vt 全国 n	64	0.000131
vn 等 u	64	0.000131
n nt 副	64	0.000131
wd 其中 rz	64	0.000131
wj 19980101 03	64	0.000131
n wd 但	64	0.000131
n 万 m	64	0.000131
n 人民 n	63	0.000129
n nt wu	63	0.000129
p 新 a	63	0.000129
n wj 这	63	0.000129
n wd 对	63	0.000129
wj 19980107 05	63	0.000129
001 001 m	62	0.000127
001 002 m	62	0.000127
n nt wd	62	0.000127
p 全国 n	62	0.000127
vt 下 f	62	0.000127
的 ud wkz	62	0.000127
n 刘 nrf	62	0.000127
n 李 nrf	62	0.000127
有关 vn 部门	62	0.000127
z 的 ud	62	0.000127
vt 来 vq	62	0.000127
n 一 m	62	0.000127
vt wj 19980106	62	0.000127
ns 政府 n	61	0.000125
n 生产 vn	61	0.000125
n 生活 n	61	0.000125
n 技术 n	61	0.000125
vt 起来 vq	61	0.000125
国家 n 的	61	0.000125
建设 vn 的	61	0.000125
m 余 m	61	0.000125
一 m 次	61	0.000125
vl 一个 mq	61	0.000125
几 m 年	61	0.000125
年 t 的	61	0.000125
vn 是 vl	61	0.000125
n 机构 n	61	0.000125
人 n wd	61	0.000125
vt wj 19980107	61	0.000125
001 003 m	60	0.000123
p 经济 n	60	0.000123
002 001 m	60	0.000123
002 002 m	60	0.000123
002 003 m	60	0.000123
rz 记者 n	60	0.000123
nrg 说 vt	60	0.000123
都 d 是	60	0.000123
经济 n 发展	60	0.000123
m 年代 n	60	0.000123
年 qt 的	60	0.000123
19980101 07 002	60	0.000123
n wj 19980102	60	0.000123
wj 他们 rr	60	0.000123
wj 19980106 11	60	0.000123
wd 向 p	59	0.000121
vt 世界 n	59	0.000121
n 危机 n	59	0.000121
特别 dc 是	59	0.000121
003 001 m	59	0.000121
003 002 m	59	0.000121
n 向 p	59	0.000121
p 他 rr	59	0.000121
n 发展 vn	59	0.000121
vt m wd	59	0.000121
为 vl m	59	0.000121
wj 19980105 06	59	0.000121
vn wj 19980107	59	0.000121
001 004 m	58	0.000119
p 人民 n	58	0.000119
本报 rz 记者	58	0.000119
004 001 m	58	0.000119
004 002 m	58	0.000119
n wd 这	58	0.000119
005 001 m	58	0.000119
005 002 m	58	0.000119
n 从 p	58	0.000119
以来 f wd	58	0.000119
n 由 p	58	0.000119
wkz 新华社 nt	57	0.000117
vt 与 p	57	0.000117
a 了 y	57	0.000117
ns 地区 n	57	0.000117
p 国家 n	57	0.000117
n 改革 vn	57	0.000117
m 米 qd	57	0.000117
wj 19980103 03	57	0.000117
wj 19980106 05	57	0.000117
vt 有 vt	56	0.000115
活动 vn wd	56	0.000115
d 发展 vt	56	0.000115
的 ud 历史	56	0.000115
ud 历史 n	56	0.000115
003 003 m	56	0.000115
的 ud 经济	56	0.000115
ud 经济 n	56	0.000115
作用 n wj	56	0.000115
006 001 m	56	0.000115
006 002 m	56	0.000115
n 王 nrf	56	0.000115
vt 我 rr	56	0.000115
vt 给 p	56	0.000115
vt 国家 n	56	0.000115
wd 其 rz	56	0.000115
n 又 d	56	0.000115
集团 n nt	56	0.000115
wj 19980106 06	56	0.000115
wj 19980107 06	56	0.000115
001 005 m	55	0.000113
002 004 m	55	0.000113
wd 更 dc	55	0.000113
n 被 p	55	0.000113
n 张 nrf	55	0.000113
wj 据 p	55	0.000113
vi 后 f	55	0.000113
的 ud 人	55	0.000113
ud 人 n	55	0.000113
d 地 ui	55	0.000113
n wd 就	55	0.000113
wj 19980104 01	55	0.000113
企业 n 集团	55	0.000113
n 以 p	54	0.000111
003 004 m	54	0.000111
委员会 n nt	54	0.000111
wky 的 ud	54	0.000111
是 vl 一个	54	0.000111
vt 是 vl	54	0.000111
中国 ns 人民	53	0.000109
中国 ns 的	53	0.000109
我们 rr 的	53	0.000109
是 vl 在	53	0.000109
n 银行 n	53	0.000109
m 亩 qd	53	0.000109
vt 典型 n	53	0.000109
vt wj 19980105	53	0.000109
和 c 发展	52	0.000107
vt 国际 n	52	0.000107
基础 n 上	52	0.000107
005 003 m	52	0.000107
vt 时 Ng	52	0.000107
wj 目前 t	52	0.000107
目前 t wd	52	0.000107
m m wu	52	0.000107
的 ud 问题	52	0.000107
ud 问题 n	52	0.000107
n 大 a	52	0.000107
001 006 m	51	0.000105
p 世界 n	51	0.000105
vt 以 p	51	0.000105
wd 同时 c	51	0.000105
m 批 qj	51	0.000105
vt 社会 n	51	0.000105
006 003 m	51	0.000105
007 001 m	51	0.000105
进行 vx 了	51	0.000105
wd 将 p	51	0.000105
表示 vt wd	51	0.000105
wd 又 d	51	0.000105
vu 在 p	51	0.000105
的 ud 主要	51	0.000105
ud 主要 b	51	0.000105
002 m 据	51	0.000105
vt 进 vq	51	0.000105
wd 提高 vt	51	0.000105
wj 中国 ns	50	0.000102
好 a 的	50	0.000102
vt 思想 n	50	0.000102
wj 但 c	50	0.000102
n 组织 n	50	0.000102
d 以 p	50	0.000102
vt 一些 mq	50	0.000102
因此 c wd	50	0.000102
p 其 rz	50	0.000102
p 北京 ns	50	0.000102
004 003 m	50	0.000102
wd 与 p	50	0.000102
008 001 m	50	0.000102
n w 记者	50	0.000102
vt 农业 n	50	0.000102
vn 中心 n	50	0.000102
他 rr 的	50	0.000102
n 之一 rz	50	0.000102
m 公里 qd	50	0.000102
a 企业 n	50	0.000102
医院 n nt	50	0.000102
vn wj 19980105	50	0.000102
wj 19980105 05	50	0.000102
vt 价格 n	50	0.000102
安 nrf 子文	50	0.000102
nrf 子文 nrg	50	0.000102
wj 19980108 06	50	0.000102
取得 vt 了	49	0.000100
d 为 wei4	49	0.000100
nt 北京 ns	49	0.000100
wd 将 d	49	0.000100
的 ud 同时	49	0.000100
ud 同时 n	49	0.000100
同时 n wd	49	0.000100
rz 北京 ns	49	0.000100
n 陈 nrf	49	0.000100
n 群众 n	49	0.000100
d 被 p	49	0.000100
的 ud 领导	49	0.000100
vl 在 p	49	0.000100
关系 n wd	49	0.000100
n 增长 vt	49	0.000100
n wd 而	49	0.000100
p 我 rr	49	0.000100
n 或 c	49	0.000100
wj 19980104 03	49	0.000100
wj 19980106 09	49	0.000100
wj 19980106 10	49	0.000100
何 nrf 长工	49	0.000100
nrf 长工 nrg	49	0.000100
vn wj 19980108	49	0.000100
vt 年 t	48	0.000098
n nt 和	48	0.000098
m 件 qe	48	0.000098
本报 rz 北京	48	0.000098
t 讯 Ng	48	0.000098
vn 能力 n	48	0.000098
做 vt 好	48	0.000098
t 起 f	48	0.000098
007 002 m	48	0.000098
a 和 c	48	0.000098
t 底 f	48	0.000098
n wd 不	48	0.000098
nr 在 p	48	0.000098
p 一 m	48	0.000098
wj 一 m	48	0.000098
wd 由 p	48	0.000098
wj 19980105 01	48	0.000098
wj 19980106 12	48	0.000098
wj 19980108 01	48	0.000098
邓 nrf 小平	47	0.000096
nrf 小平 nrg	47	0.000096
ns 人 n	47	0.000096
新华社 nt 北京	47	0.000096
金融 n 危机	47	0.000096
m 万 m	47	0.000096
wj 19980101 02	47	0.000096
vt 全 a	47	0.000096
n 教育 vn	47	0.000096
钱 nrf 其琛	47	0.000096
nrf 其琛 nrg	47	0.000096
vt 成 vt	47	0.000096
v 的 ud	47	0.000096
p 市场 n	47	0.000096
wj 19980104 02	47	0.000096
wj 19980106 07	47	0.000096
vt 下 vq	46	0.000094
精神 n wd	46	0.000094
002 005 m	46	0.000094
群众 n 的	46	0.000094
n m 多	46	0.000094
b 企业 n	46	0.000094
企业 n wd	46	0.000094
wj 要 c	46	0.000094
p 月 t	46	0.000094
rr 是 vl	46	0.000094
n wd 他	46	0.000094
008 002 m	46	0.000094
a 而 c	46	0.000094
d 从 p	46	0.000094
多 a 的	46	0.000094
前 f wd	46	0.000094
n 部门 n	46	0.000094
wj 19980107 07	46	0.000094
n 活动 vn	45	0.000092
qt 里 f	45	0.000092
wj 因此 c	45	0.000092
当 dang1 vl	45	0.000092
nr 的 ud	45	0.000092
于 p 年	45	0.000092
等 u m	45	0.000092
Ng w 记者	45	0.000092
的 ud 一个	45	0.000092
ud 一个 mq	45	0.000092
vt 农民 n	45	0.000092
增长 vt m	45	0.000092
nt 在 p	45	0.000092
是 vl wyz	45	0.000092
n 体制 n	45	0.000092
全 a 市	45	0.000092
a 市 n	45	0.000092
vt 金融 n	45	0.000092
ns 金融 n	45	0.000092
n 汇率 n	45	0.000092
并 d 不	45	0.000092
体育 n 产业	45	0.000092
子文 nrg 同志	45	0.000092
001 007 m	44	0.000090
的 ud 基本	44	0.000090
ud 基本 a	44	0.000090
要求 n wd	44	0.000090
vi 时 Ng	44	0.000090
刘 nrf 澜涛	44	0.000090
nrf 澜涛 nrg	44	0.000090
n wd 有	44	0.000090
wd 它 rr	44	0.000090
n 收入 n	44	0.000090
vt wd 这	44	0.000090
ns 总统 n	44	0.000090
ns 经济 n	44	0.000090
n 19980101 07	44	0.000090
一 m 条	44	0.000090
wj 从 p	44	0.000090
jn 的 ud	44	0.000090
n 工业 n	44	0.000090
n 提供 vt	44	0.000090
wj 19980103 02	44	0.000090
wj 19980106 04	44	0.000090
n 政策 n	43	0.000088
的 ud 情况	43	0.000088
ud 情况 n	43	0.000088
003 005 m	43	0.000088
日 t 讯	43	0.000088
地区 n ns	43	0.000088
p 我国 rz	43	0.000088
他们 rr 的	43	0.000088
美元 qd wd	43	0.000088
wj 我 rr	43	0.000088
vt wd wyz	43	0.000088
d 成为 vl	43	0.000088
vt 政府 n	43	0.000088
Ng 的 ud	43	0.000088
wj 19980102 02	43	0.000088
p 去年 t	43	0.000088
的 ud 要求	43	0.000088
ud 要求 n	43	0.000088
001 m 本报	43	0.000088
wj 19980107 12	43	0.000088
n 事业 n	42	0.000086
n 改革 vt	42	0.000086
vn 经济 n	42	0.000086
c 发展 vt	42	0.000086
在 p 新	42	0.000086
年 qt 里	42	0.000086
002 006 m	42	0.000086
发展 vt wd	42	0.000086
wu 李 nrf	42	0.000086
p 企业 n	42	0.000086
n wd 把	42	0.000086
vt 更 dc	42	0.000086
009 001 m	42	0.000086
是 vl wd	42	0.000086
更 dc 多	42	0.000086
d 于 p	42	0.000086
的 ud 关系	42	0.000086
ud 关系 n	42	0.000086
a wd 但	42	0.000086
vt 大 a	42	0.000086
m 这 rz	42	0.000086
wd 却 d	42	0.000086
vn 水平 n	42	0.000086
工程 n wyy	42	0.000086
n 经营 vn	42	0.000086
wj 19980107 02	42	0.000086
wj 19980108 10	42	0.000086
dc 重要 a	41	0.000084
vt 开放 vt	41	0.000084
n 文化 n	41	0.000084
政策 n wd	41	0.000084
的 ud 十五大	41	0.000084
ud 十五大 j	41	0.000084
建设 vn wd	41	0.000084
f 一 m	41	0.000084
多 m 万	41	0.000084
等 u wj	41	0.000084
作用 n wd	41	0.000084
wd 必须 d	41	0.000084
人民 n 的	41	0.000084
澜涛 nrg 同志	41	0.000084
nr 说 vt	41	0.000084
005 004 m	41	0.000084
vt 我国 rz	41	0.000084
007 003 m	41	0.000084
p 自己 rr	41	0.000084
008 003 m	41	0.000084
vn 机制 n	41	0.000084
日 t 在	41	0.000084
只 d 有	41	0.000084
美元 qd wj	41	0.000084
vt wd 年	41	0.000084
wd 而是 c	41	0.000084
一 m 系列	41	0.000084
m 系列 n	41	0.000084
在 p m	41	0.000084
n wd 将	41	0.000084
n 第一 m	41	0.000084
n 有 vx	41	0.000084
wj 19980103 01	41	0.000084
wd 她 rr	41	0.000084
d 把 p	41	0.000084
n wyy wu	41	0.000084
wj 19980105 03	41	0.000084
wj 19980106 01	41	0.000084
在 p 年	40	0.000082
也 d 不	40	0.000082
党 n 和	40	0.000082
wd 才 d	40	0.000082
提供 vt 了	40	0.000082
vi 于 p	40	0.000082
vn 职工 n	40	0.000082
n 工程 n	40	0.000082
vn 问题 n	40	0.000082
t 时 t	40	0.000082
wd 有 的	40	0.000082
n 文字 n	40	0.000082
n 来 vi	40	0.000082
n 环境 n	40	0.000082
n 服务 vn	40	0.000082
强调 vt wd	40	0.000082
n wd m	40	0.000082
n wd 年	40	0.000082
n 以及 c	40	0.000082
vn 委员会 n	40	0.000082
wd 两 m	40	0.000082
n 很 dc	40	0.000082
两 m 年	40	0.000082
m 公斤 qd	40	0.000082
活动 vn wj	40	0.000082
n 产品 n	40	0.000082
当时 dang1shi2 t	40	0.000082
wj 而 c	40	0.000082
五 m 年	40	0.000082
wj 19980105 04	40	0.000082
wj 19980105 07	40	0.000082
001 008 m	39	0.000080
iv 地 ui	39	0.000080
m 世纪 n	39	0.000080
不 df 会	39	0.000080
vl 我们 rr	39	0.000080
才 d 能	39	0.000080
vt 新年 t	39	0.000080
nrg wu 李	39	0.000080
一 m 批	39	0.000080
004 004 m	39	0.000080
d 向 p	39	0.000080
vt 人民 n	39	0.000080
006 004 m	39	0.000080
wd 通过 p	39	0.000080
vn 项目 n	39	0.000080
wd 已 d	39	0.000080
和 c m	39	0.000080
n 之间 f	39	0.000080
毛 nrf 泽东	39	0.000080
nrf 泽东 nrg	39	0.000080
不 df 到	39	0.000080
c 经济 n	39	0.000080
n 方面 n	39	0.000080
vt 你 rr	39	0.000080
wj 19980102 01	39	0.000080
期间 f wd	39	0.000080
wj 19980107 04	39	0.000080
wj 19980107 10	39	0.000080
精神文明 n 建设	38	0.000078
改革 vt 开放	38	0.000078
等 u 方面	38	0.000078
u 方面 n	38	0.000078
发展 vn wj	38	0.000078
国有 vn 企业	38	0.000078
ns 市委 n	38	0.000078
经济 n 增长	38	0.000078
ns 在 p	38	0.000078
vt 发展 vt	38	0.000078
wd 成为 vl	38	0.000078
vn 会议 n	38	0.000078
影响 vn wd	38	0.000078
语言 n 文字	38	0.000078
n 水平 n	38	0.000078
a 水平 n	38	0.000078
d 将 d	38	0.000078
从 p 年	38	0.000078
p 不 df	38	0.000078
发展 vn wd	38	0.000078
n wd 从	38	0.000078
n 却 d	38	0.000078
n 调整 vn	38	0.000078
kan4 vt wd	38	0.000078
wd 从而 c	38	0.000078
较 dc 大	38	0.000078
vt 体育 n	38	0.000078
wj 19980107 01	38	0.000078
n wd 我们	37	0.000076
地区 n 的	37	0.000076
wj 这些 rz	37	0.000076
vt wyy 的	37	0.000076
df 会 vu	37	0.000076
n 新 a	37	0.000076
p 国际 n	37	0.000076
情况 n 下	37	0.000076
002 007 m	37	0.000076
nrf 鹏 nrg	37	0.000076
n 已经 d	37	0.000076
nrg 和 c	37	0.000076
vt 较 dc	37	0.000076
vt 农村 n	37	0.000076
的 ud 企业	37	0.000076
ud 企业 n	37	0.000076
010 001 m	37	0.000076
岁 qt 的	37	0.000076
p 这里 rz	37	0.000076
nr 日 t	37	0.000076
c 社会 n	37	0.000076
成 vt 了	37	0.000076
n 领导 n	37	0.000076
多 a wd	37	0.000076
wd 你 rr	37	0.000076
vt 等 u	37	0.000076
wj 19980102 03	37	0.000076
n 体系 n	37	0.000076
一 m 是	37	0.000076
出版社 n nt	37	0.000076
m 去年 t	37	0.000076
n 高 a	37	0.000076
nrg wky 19980107	37	0.000076
wj 19980108 09	37	0.000076
解放 vt 思想	36	0.000074
p 一个 mq	36	0.000074
wd 特别 dc	36	0.000074
p 党 n	36	0.000074
在 p 北京	36	0.000074
同时 c wd	36	0.000074
的 ud 精神	36	0.000074
ud 精神 n	36	0.000074
很 dc 大	36	0.000074
一 m 项	36	0.000074
a 技术 n	36	0.000074
n wd 要	36	0.000074
009 002 m	36	0.000074
m 从 p	36	0.000074
vt 之 u	36	0.000074
d 对 p	36	0.000074
vi 和 c	36	0.000074
时期 n wd	36	0.000074
n wd 而且	36	0.000074
结构 n 调整	36	0.000074
n 将 p	36	0.000074
n 认为 vt	36	0.000074
n 可 vu	36	0.000074
f wd 他	36	0.000074
n 总 b	36	0.000074
wj 19980103 04	36	0.000074
干 gan4 vt	36	0.000074
wj 19980104 04	36	0.000074
19980107 12 002	36	0.000074
的 ud 国际	35	0.000072
ud 国际 n	35	0.000072
参加 vt 了	35	0.000072
人 n 的	35	0.000072
的 ud 思想	35	0.000072
ud 思想 n	35	0.000072
a 问题 n	35	0.000072
n 政府 n	35	0.000072
p 当地 s	35	0.000072
水平 n wd	35	0.000072
008 004 m	35	0.000072
图 n 为	35	0.000072
的 ud 作用	35	0.000072
n nt 在	35	0.000072
n 设施 n	35	0.000072
大 a wd	35	0.000072
几 m 个	35	0.000072
的 ud 时间	35	0.000072
ud 时间 n	35	0.000072
有 vt 一	35	0.000072
市场 n wd	35	0.000072
d 可以 vu	35	0.000072
vt 她 rr	35	0.000072
m 只 qe	35	0.000072
n 前 f	35	0.000072
rr 还 d	35	0.000072
rz 就 d	35	0.000072
市场 n 的	35	0.000072
n 项目 n	35	0.000072
m wu m	35	0.000072
的 ud 价格	35	0.000072
ud 价格 n	35	0.000072
vn 电话 n	35	0.000072
wj 19980105 10	35	0.000072
wj 19980107 09	35	0.000072
wj 19980107 11	35	0.000072
vt wj 19980108	35	0.000072
在 p 这	34	0.000070
起来 vq wd	34	0.000070
t 是 vl	34	0.000070
