# 总词数: 487832
# 词汇表大小: 91800
# 格式: 词语	频次	频率
#==================================================
wj wyy	238	0.000488
新华社 nt	237	0.000486
国际 n	237	0.000486
金融 n	237	0.000486
更 dc	234	0.000480
高 a	233	0.000478
下 f	233	0.000478
重要 a	232	0.000476
有 vx	228	0.000467
n 等	228	0.000467
了 y	228	0.000467
多 a	228	0.000467
rz 一	227	0.000465
t 电	227	0.000465
又 d	227	0.000465
007 m	225	0.000461
d 不	225	0.000461
提高 vt	224	0.000459
管理 vn	223	0.000457
技术 n	222	0.000455
wd 并	221	0.000453
wd 但	221	0.000453
三 m	221	0.000453
部门 n	221	0.000453
地区 n	220	0.000451
出 vq	219	0.000449
m wd	219	0.000449
公司 n	219	0.000449
n w	217	0.000445
wm wyz	217	0.000445
p 年	216	0.000443
iv wd	215	0.000441
wyy 的	214	0.000439
亿 m	214	0.000439
wyy wj	214	0.000439
n 发展	212	0.000435
活动 vn	212	0.000435
n 不	210	0.000430
一些 mq	209	0.000428
wj 他	209	0.000428
据 p	209	0.000428
关系 n	208	0.000426
wj wkz	205	0.000420
ud 一	205	0.000420
次 qv	205	0.000420
n 与	205	0.000420
银行 n	204	0.000418
n 工作	203	0.000416
vt 出	203	0.000416
干部 n	203	0.000416
之 u	203	0.000416
其 rz	202	0.000414
d 在	202	0.000414
m 次	201	0.000412
wd 他	201	0.000412
自己 rr	201	0.000412
nrg 同志	200	0.000410
第一 m	199	0.000408
dc 大	199	0.000408
农业 n	198	0.000406
加强 vt	198	0.000406
副 b	198	0.000406
将 p	198	0.000406
ud wj	196	0.000402
历史 n	195	0.000400
很 dc	195	0.000400
ud m	195	0.000400
产品 n	194	0.000398
领导 n	193	0.000396
方面 n	192	0.000394
wd 为	192	0.000394
wd 这	192	0.000394
n wkz	190	0.000389
农民 n	190	0.000389
wj 19980104	187	0.000383
所 us	186	0.000381
wd 也	185	0.000379
去年 t	185	0.000379
会 vu	184	0.000377
里 f	184	0.000377
职工 n	183	0.000375
n 对	182	0.000373
vt 不	182	0.000373
刘 nrf	182	0.000373
m wkz	181	0.000371
n 也	181	0.000371
ud wyz	180	0.000369
们 k	178	0.000365
周 nrf	178	0.000365
种 qz	178	0.000365
wj 19980103	178	0.000365
m 人	177	0.000363
美国 ns	175	0.000359
m 种	175	0.000359
目前 t	174	0.000357
位 qe	173	0.000355
n wm	173	0.000355
008 m	172	0.000353
前 f	172	0.000353
给 p	172	0.000353
n 们	171	0.000351
t 在	171	0.000351
名 qe	170	0.000348
小 a	170	0.000348
集团 n	170	0.000348
她 rr	169	0.000346
wj 19980101	168	0.000344
wj 这	166	0.000340
这些 rz	165	0.000338
水平 n	165	0.000338
wd 使	165	0.000338
做 vt	165	0.000338
国 n	165	0.000338
ud wd	164	0.000336
m 名	164	0.000336
今天 t	164	0.000336
全 a	164	0.000336
m wu	164	0.000336
wj 年	164	0.000336
生产 vn	162	0.000332
n 将	162	0.000332
体育 n	162	0.000332
成为 vl	161	0.000330
p m	161	0.000330
实现 vt	160	0.000328
几 m	160	0.000328
n 都	159	0.000326
n 经济	159	0.000326
qd wj	159	0.000326
02 001	156	0.000320
及 c	156	0.000320
vi wu	155	0.000318
wd 以	155	0.000318
产业 n	155	0.000318
iv 的	153	0.000314
工程 n	153	0.000314
报道 vt	152	0.000312
m 位	152	0.000312
农村 n	152	0.000312
思想 n	151	0.000310
人员 n	151	0.000310
可以 vu	151	0.000310
文化 n	150	0.000307
rz 是	150	0.000307
张 nrf	150	0.000307
n 就	149	0.000305
基础 n	149	0.000305
vq 了	149	0.000305
wd 对	149	0.000305
到 vt	148	0.000303
jn nt	148	0.000303
wd 就	148	0.000303
新年 t	147	0.000301
你 rr	147	0.000301
服务 vn	145	0.000297
内 f	145	0.000297
ns wd	145	0.000297
b 的	144	0.000295
19980106 02	144	0.000295
改革 vt	143	0.000293
达 vt	143	0.000293
m 在	142	0.000291
vq wd	142	0.000291
iv wj	142	0.000291
提出 vt	142	0.000291
再 d	142	0.000291
m wj	142	0.000291
19980101 07	142	0.000291
图片 n	141	0.000289
条 qe	141	0.000289
m 美元	141	0.000289
社会主义 n	140	0.000287
wd 年	140	0.000287
精神 n	140	0.000287
必须 d	140	0.000287
建立 vt	139	0.000285
美元 qd	139	0.000285
通过 p	138	0.000283
香港 ns	138	0.000283
结构 n	138	0.000283
rz wd	138	0.000283
qe wd	138	0.000283
m m	138	0.000283
这个 rz	137	0.000281
vt 好	136	0.000279
nt 的	136	0.000279
讯 Ng	136	0.000279
Ng w	136	0.000279
有关 vn	136	0.000279
项目 n	136	0.000279
中央 n	135	0.000277
会议 n	135	0.000277
wj 19980102	135	0.000277
项 qe	134	0.000275
vt 新	133	0.000273
进一步 d	133	0.000273
wd 有	133	0.000273
vt 后	133	0.000273
m 条	133	0.000273
政策 n	132	0.000271
表示 vt	132	0.000271
市 n	132	0.000271
m 是	132	0.000271
解决 vt	131	0.000269
l wd	131	0.000269
rz 的	130	0.000266
009 m	130	0.000266
科技 n	130	0.000266
它 rr	130	0.000266
王 nrf	130	0.000266
wd 而	130	0.000266
改革 vn	129	0.000264
走 vt	129	0.000264
人们 n	129	0.000264
取得 vt	128	0.000262
qt wd	128	0.000262
n wyz	128	0.000262
m 据	128	0.000262
到 p	128	0.000262
m 家	128	0.000262
vt 万	128	0.000262
wd 我们	127	0.000260
情况 n	127	0.000260
n 进行	127	0.000260
家 qe	127	0.000260
m 国	127	0.000260
继续 vt	126	0.000258
lv wd	126	0.000258
这种 r	125	0.000256
vt 中国	124	0.000254
n 已	124	0.000254
开始 vt	124	0.000254
此 rz	124	0.000254
n 有	124	0.000254
或 c	124	0.000254
却 d	124	0.000254
同 p	123	0.000252
环境 n	123	0.000252
增长 vt	123	0.000252
可 vu	123	0.000252
合作 vn	122	0.000250
ud 发展	122	0.000250
较 dc	122	0.000250
n 里	121	0.000248
主要 b	121	0.000248
01 001	120	0.000246
提供 vt	120	0.000246
许多 m	120	0.000246
nt 副	120	0.000246
教育 vn	120	0.000246
y wd	119	0.000244
vn 部门	118	0.000242
作用 n	118	0.000242
01 002	117	0.000240
陈 nrf	117	0.000240
单位 n	117	0.000240
认为 vt	117	0.000240
an wd	116	0.000238
来 f	116	0.000238
n 市场	116	0.000238
m 张	115	0.000236
条件 n	115	0.000236
举行 vt	115	0.000236
交通 n	115	0.000236
张 qe	114	0.000234
发生 vt	114	0.000234
政治 n	114	0.000234
得 ue	114	0.000234
形成 vt	114	0.000234
vl 一	114	0.000234
南非 ns	114	0.000234
qt 的	113	0.000232
事业 n	112	0.000230
参加 vt	112	0.000230
各 rz	112	0.000230
时间 n	112	0.000230
典型 n	112	0.000230
上 vq	111	0.000228
vn 中	111	0.000228
vq 的	111	0.000228
机构 n	111	0.000228
建设 vt	110	0.000225
010 m	110	0.000225
dc 是	110	0.000225
广大 b	109	0.000223
n 下	109	0.000223
vt 下	109	0.000223
才 d	109	0.000223
n 干部	109	0.000223
ul 一	109	0.000223
vt 为	109	0.000223
先进 a	109	0.000223
vn 工作	109	0.000223
nt wu	108	0.000221
生活 n	108	0.000221
wd m	108	0.000221
起 vq	108	0.000221
n 要	107	0.000219
vt wkz	107	0.000219
经营 vn	107	0.000219
vt 一个	107	0.000219
wd wyz	107	0.000219
过 uo	107	0.000219
ul m	107	0.000219
世纪 n	106	0.000217
组织 n	106	0.000217
坚持 vt	106	0.000217
五 m	106	0.000217
vt 上	106	0.000217
实行 vt	106	0.000217
p 中国	106	0.000217
c 在	105	0.000215
中心 n	105	0.000215
指出 vt	105	0.000215
n 时	105	0.000215
用 p	105	0.000215
m wyz	105	0.000215
俄 jn	105	0.000215
vt 过	105	0.000215
wd 我	104	0.000213
今年 t	104	0.000213
恩来 nrg	104	0.000213
vt 这	104	0.000213
n 管理	104	0.000213
vt wyy	103	0.000211
看 kan4	103	0.000211
kan4 vt	103	0.000211
nrg 报道	103	0.000211
wd 不	103	0.000211
m 项	102	0.000209
来 vq	102	0.000209
n 企业	102	0.000209
其他 rz	101	0.000207
wky wd	101	0.000207
d 要	101	0.000207
vn 人员	101	0.000207
国务院 nt	101	0.000207
vt 起	101	0.000207
国内 s	101	0.000207
vt 亿	101	0.000207
应 ying1	101	0.000207
ying1 vu	101	0.000207
y wj	101	0.000207
wd 将	100	0.000205
已经 d	100	0.000205
进入 vt	100	0.000205
wd 要	100	0.000205
rr 说	100	0.000205
没有 vt	100	0.000205
战略 n	100	0.000205
df 是	100	0.000205
n 改革	99	0.000203
vt 于	99	0.000203
nrf 恩来	99	0.000203
读者 n	99	0.000203
第二 m	99	0.000203
19980106 09	99	0.000203
江 nrf	98	0.000201
ns 人民	98	0.000201
以来 f	98	0.000201
重大 a	98	0.000201
让 vt	98	0.000201
二 m	98	0.000201
dc 多	98	0.000201
保持 vt	97	0.000199
vt 我们	97	0.000199
n 还	97	0.000199
办 vt	97	0.000199
任务 n	97	0.000199
vn 企业	97	0.000199
同时 c	97	0.000199
增加 vt	97	0.000199
m 的	97	0.000199
19980107 05	97	0.000199
以及 c	96	0.000197
qt 来	96	0.000197
d 会	96	0.000197
vl wyz	96	0.000197
wd 把	96	0.000197
s 的	96	0.000197
省 n	96	0.000197
m 大	96	0.000197
n 结构	96	0.000197
法律 n	96	0.000197
19980106 11	96	0.000197
wd 中国	95	0.000195
时期 n	95	0.000195
十五大 j	95	0.000195
vt 得	95	0.000195
新闻 n	95	0.000195
w 记者	95	0.000195
n 及	95	0.000195
医院 n	95	0.000195
19980104 04	95	0.000195
p wyz	94	0.000193
采取 vt	94	0.000193
d 能	94	0.000193
天 qt	94	0.000193
总理 n	94	0.000193
开展 vt	94	0.000193
其中 rz	94	0.000193
县 n	94	0.000193
n 问题	94	0.000193
f wj	94	0.000193
n 内	94	0.000193
占 vt	94	0.000193
只 d	94	0.000193
资金 n	94	0.000193
行业 n	94	0.000193
得到 vt	93	0.000191
vt 经济	93	0.000191
m 天	93	0.000191
成 vt	93	0.000191
当地 s	93	0.000191
城市 n	93	0.000191
wd 从	93	0.000191
要求 vt	93	0.000191
主席 n	92	0.000189
没有 df	92	0.000189
vt 企业	92	0.000189
n 说	92	0.000189
至 p	92	0.000189
四 m	92	0.000189
wd 一	92	0.000189
积极 ad	91	0.000187
届 qe	91	0.000187
w wkz	91	0.000187
孩子 n	91	0.000187
u wd	91	0.000187
p 此	91	0.000187
vn 活动	91	0.000187
总统 n	91	0.000187
19980101 03	91	0.000187
为了 p	91	0.000187
n 关系	90	0.000184
目标 n	90	0.000184
特别 dc	90	0.000184
m 届	90	0.000184
a 了	90	0.000184
ud 是	90	0.000184
具有 vt	89	0.000182
vt 人	89	0.000182
nrg 等	89	0.000182
书记 n	89	0.000182
措施 n	89	0.000182
vx 了	89	0.000182
19980104 01	89	0.000182
wky 19980105	89	0.000182
ns 和	88	0.000180
df 能	88	0.000180
n nz	88	0.000180
组织 vt	88	0.000180
工业 n	88	0.000180
03 001	88	0.000180
rz 讯	88	0.000180
体制 n	88	0.000180
19980105 10	88	0.000180
不断 d	87	0.000178
促进 vt	87	0.000178
lv 的	87	0.000178
这样 rz	87	0.000178
上海 ns	87	0.000178
曾 d	87	0.000178
委员会 n	87	0.000178
nrg wd	87	0.000178
优势 n	87	0.000178
nz wyy	87	0.000178
日本 ns	86	0.000176
各种 rz	86	0.000176
国有 vn	86	0.000176
比 p	86	0.000176
m 岁	86	0.000176
岁 qt	86	0.000176
货币 n	86	0.000176
vt 自己	86	0.000176
资本 n	86	0.000176
19980103 03	86	0.000176
n wp	85	0.000174
nrf 泽民	85	0.000174
泽民 nrg	85	0.000174
rr 在	85	0.000174
011 m	85	0.000174
要求 n	85	0.000174
vn wyy	85	0.000174
而且 c	85	0.000174
nt wd	84	0.000172
d 为	84	0.000172
d wd	84	0.000172
全面 ad	84	0.000172
制度 n	84	0.000172
规模 n	84	0.000172
19980106 05	84	0.000172
wyy wu	83	0.000170
低 a	83	0.000170
vn 与	83	0.000170
完成 vt	83	0.000170
s wd	83	0.000170
达到 vt	83	0.000170
影响 vn	83	0.000170
wkz 记者	83	0.000170
地方 di4fang1	83	0.000170
di4fang1 n	83	0.000170
n 最	83	0.000170
应当 vu	83	0.000170
19980107 06	83	0.000170
p 这	82	0.000168
出现 vt	82	0.000168
区 n	82	0.000168
那 rz	82	0.000168
户 qe	82	0.000168
wky 19980106	82	0.000168
Vg wky	81	0.000166
wu wyz	81	0.000166
危机 n	81	0.000166
强调 vt	81	0.000166
m 新华社	81	0.000166
总 b	81	0.000166
vt 市场	81	0.000166
自治区 n	81	0.000166
n 之	81	0.000166
qd 的	81	0.000166
m 户	81	0.000166
n 产业	81	0.000166
19980105 06	81	0.000166
vt 对	80	0.000164
wj 我们	80	0.000164
作出 vt	80	0.000164
vt 与	80	0.000164
学习 vt	80	0.000164
工作 vi	80	0.000164
无 vt	80	0.000164
系统 n	80	0.000164
重点 n	80	0.000164
在 vt	80	0.000164
07 002	80	0.000164
汇率 n	80	0.000164
19980108 06	80	0.000164
发表 vt	79	0.000162
摄 Vg	79	0.000162
起来 vq	79	0.000162
vq wj	79	0.000162
方式 n	79	0.000162
同 vt	79	0.000162
资源 n	79	0.000162
信息 n	79	0.000162
wd 又	79	0.000162
资产 n	79	0.000162
vt 党	78	0.000160
能力 n	78	0.000160
来 vi	78	0.000160
这里 rz	78	0.000160
投资 vn	78	0.000160
wd 他们	78	0.000160
19980106 06	78	0.000160
wky 19980107	78	0.000160
qe wky	77	0.000158
nrg 摄	77	0.000158
基本 a	77	0.000158
关于 p	77	0.000158
发挥 vt	77	0.000158
受 vt	77	0.000158
机制 n	77	0.000158
研究 vn	77	0.000158
m wky	77	0.000158
行为 n	77	0.000158
19980105 01	77	0.000158
19980106 12	77	0.000158
vt 中	76	0.000156
机关 n	76	0.000156
04 001	76	0.000156
民族 n	75	0.000154
现在 t	75	0.000154
df 同	75	0.000154
主任 n	75	0.000154
收入 n	75	0.000154
结合 vt	75	0.000154
发现 vt	75	0.000154
19980103 02	75	0.000154
19980106 10	75	0.000154
nt 记者	74	0.000152
按照 p	74	0.000152
ns 等	74	0.000152
各级 rz	74	0.000152
19980101 02	74	0.000152
质量 n	74	0.000152
p 新华社	74	0.000152
部长 n	74	0.000152
n 来	74	0.000152
决定 vt	74	0.000152
vl m	74	0.000152
财政 n	74	0.000152
受到 vt	74	0.000152
实施 vt	74	0.000152
19980105 03	74	0.000152
vt 图片	73	0.000150
dc 好	73	0.000150
根据 p	73	0.000150
n 后	73	0.000150
vt 两	73	0.000150
以 c	73	0.000150
如何 ryw	73	0.000150
军事 n	73	0.000150
n 集团	73	0.000150
19980105 04	73	0.000150
19980105 05	73	0.000150
19980107 10	73	0.000150
19980108 01	73	0.000150
19980108 09	73	0.000150
十分 dc	72	0.000148
推动 vt	72	0.000148
写 vt	72	0.000148
批 qj	72	0.000148
包括 vt	72	0.000148
责任 n	72	0.000148
旅游 vn	72	0.000148
n 达	72	0.000148
成立 vt	72	0.000148
wd 而且	72	0.000148
wd 还	72	0.000148
地质 n	72	0.000148
19980106 01	72	0.000148
19980107 02	72	0.000148
wkz 附	71	0.000146
附 vt	71	0.000146
n 生产	71	0.000146
仍 d	71	0.000146
联合国 nt	71	0.000146
vt 群众	71	0.000146
ud 工作	71	0.000146
n 增长	71	0.000146
vi m	71	0.000146
大量 m	71	0.000146
钱 n	71	0.000146
c 是	71	0.000146
居民 n	71	0.000146
19980103 04	71	0.000146
ud 新	70	0.000143
增长 vn	70	0.000143
l 的	70	0.000143
还有 vt	70	0.000143
012 m	70	0.000143
共同 d	70	0.000143
ud 重要	70	0.000143
n 19980101	70	0.000143
nrg 在	70	0.000143
期间 f	70	0.000143
nrg 的	70	0.000143
什么 ry	70	0.000143
以上 f	70	0.000143
n 公司	70	0.000143
19980105 09	70	0.000143
19980106 07	70	0.000143
nt 和	69	0.000141
俄罗斯 ns	69	0.000141
n 所	69	0.000141
共 d	69	0.000141
传统 a	69	0.000141
qe wj	69	0.000141
c 不	69	0.000141
由于 c	69	0.000141
vt 他	69	0.000141
该 rz	69	0.000141
n 19980105	69	0.000141
ul wyz	68	0.000139
n 生活	68	0.000139
c 发展	68	0.000139
近 a	68	0.000139
送 vt	68	0.000139
wd 我国	68	0.000139
重视 vt	68	0.000139
n 服务	68	0.000139
有 的	68	0.000139
的 rz	68	0.000139
日前 t	68	0.000139
部队 n	68	0.000139
大学 n	68	0.000139
原因 n	68	0.000139
如 vt	68	0.000139
vt 其	68	0.000139
便 d	68	0.000139
19980104 02	68	0.000139
制定 vt	67	0.000137
ud 基础	67	0.000137
何 nrf	67	0.000137
看到 vt	67	0.000137
形式 n	67	0.000137
d 将	67	0.000137
jn wu	67	0.000137
ns 国家	67	0.000137
ns wj	67	0.000137
n 万	67	0.000137
vt 来	67	0.000137
n 一	67	0.000137
n 19980106	67	0.000137
祖国 n	66	0.000135
内容 n	66	0.000135
因此 c	66	0.000135
十 m	66	0.000135
介绍 vt	66	0.000135
qv wd	66	0.000135
p 我们	66	0.000135
困难 a	66	0.000135
产生 vt	66	0.000135
商品 n	66	0.000135
19980104 03	66	0.000135
19980106 04	66	0.000135
19980107 07	66	0.000135
19980107 09	66	0.000135
wd 都	65	0.000133
可能 vu	65	0.000133
n 组织	65	0.000133
n 而	65	0.000133
家庭 n	65	0.000133
dc 高	65	0.000133
生产 vt	65	0.000133
家 n	65	0.000133
当 p	65	0.000133
开发 vn	65	0.000133
计划 n	65	0.000133
仅 d	65	0.000133
03 002	65	0.000133
在 d	65	0.000133
n 价格	65	0.000133
经营 vt	65	0.000133
09 002	65	0.000133
vt 有	64	0.000131
之间 f	64	0.000131
ad 发展	64	0.000131
力量 n	64	0.000131
p 新	64	0.000131
增强 vt	64	0.000131
vi wyy	64	0.000131
艺术 n	64	0.000131
作为 p	64	0.000131
vt 他们	64	0.000131
vt 全国	64	0.000131
要 c	64	0.000131
vn 等	64	0.000131
wd 其中	64	0.000131
抓 vt	64	0.000131
利用 vt	64	0.000131
不仅 c	64	0.000131
19980102 02	64	0.000131
全部 m	64	0.000131
19980103 01	64	0.000131
n 人民	63	0.000129
未来 t	63	0.000129
lv wj	63	0.000129
推进 vt	63	0.000129
wj 要	63	0.000129
n 向	63	0.000129
事 n	63	0.000129
02 002	63	0.000129
造成 vt	63	0.000129
年代 n	63	0.000129
毛 nrf	63	0.000129
并 d	63	0.000129
03 004	63	0.000129
泰国 ns	63	0.000129
天津 ns	63	0.000129
19980105 11	63	0.000129
001 001	62	0.000127
001 002	62	0.000127
p 全国	62	0.000127
邓 nrf	62	0.000127
和平 a	62	0.000127
开放 vt	62	0.000127
领导 vt	62	0.000127
ud wkz	62	0.000127
n 刘	62	0.000127
n 李	62	0.000127
m 余	62	0.000127
粮食 n	62	0.000127
相 d	62	0.000127
如果 c	62	0.000127
存在 vt	62	0.000127
z 的	62	0.000127
n 大	62	0.000127
电话 n	62	0.000127
19980107 04	62	0.000127
ns 政府	61	0.000125
n 技术	61	0.000125
扩大 vt	61	0.000125
困难 an	61	0.000125
vt 起来	61	0.000125
vt 以	61	0.000125
老 a	61	0.000125
余 m	61	0.000125
vl 一个	61	0.000125
就 p	61	0.000125
这次 r	61	0.000125
vn 是	61	0.000125
n 机构	61	0.000125
05 001	61	0.000125
月 n	61	0.000125
19980108 04	61	0.000125
001 003	60	0.000123
最近 t	60	0.000123
p 经济	60	0.000123
经验 n	60	0.000123
n 以	60	0.000123
013 m	60	0.000123
002 001	60	0.000123
元旦 t	60	0.000123
002 002	60	0.000123
002 003	60	0.000123
rz 记者	60	0.000123
地 n	60	0.000123
nrg 说	60	0.000123
rr wd	60	0.000123
p 他	60	0.000123
因 p	60	0.000123
严重 a	60	0.000123
正 d	60	0.000123
人口 n	60	0.000123
研究 vt	60	0.000123
市场经济 n	60	0.000123
m 年代	60	0.000123
系列 n	60	0.000123
n 又	60	0.000123
wj 他们	60	0.000123
19980107 12	60	0.000123
wd 向	59	0.000121
方针 n	59	0.000121
伟大 a	59	0.000121
外交 n	59	0.000121
vt 世界	59	0.000121
努力 ad	59	0.000121
n 危机	59	0.000121
意义 n	59	0.000121
003 001	59	0.000121
003 002	59	0.000121
代表 n	59	0.000121
最后 f	59	0.000121
加快 vt	59	0.000121
02 003	59	0.000121
wu m	59	0.000121
电视 n	59	0.000121
利益 n	59	0.000121
状况 n	59	0.000121
n 王	59	0.000121
水 n	59	0.000121
驻 vt	59	0.000121
既 c	59	0.000121
19980102 01	59	0.000121
成本 n	59	0.000121
19980108 05	59	0.000121
19980108 10	59	0.000121
001 004	58	0.000119
召开 vt	58	0.000119
vt wf	58	0.000119
件 qe	58	0.000119
p 人民	58	0.000119
服务 vt	58	0.000119
004 001	58	0.000119
004 002	58	0.000119
005 001	58	0.000119
005 002	58	0.000119
n 从	58	0.000119
需求 n	58	0.000119
宣布 vt	58	0.000119
n 由	58	0.000119
vt 给	58	0.000119
19980102 03	58	0.000119
n 经营	58	0.000119
主要 d	58	0.000119
范围 n	58	0.000119
wkz 新华社	57	0.000117
一定 d	57	0.000117
阶段 n	57	0.000117
01 003	57	0.000117
调整 vt	57	0.000117
ns 地区	57	0.000117
vl 在	57	0.000117
业务 n	57	0.000117
军队 n	57	0.000117
p 国家	57	0.000117
和 p	57	0.000117
变化 vn	57	0.000117
投资 vt	57	0.000117
去 vi	57	0.000117
体系 n	57	0.000117
m 米	57	0.000117
米 qd	57	0.000117
19980105 07	57	0.000117
wky 19980108	57	0.000117
各国 rz	56	0.000115
行动 vn	56	0.000115
获得 vt	56	0.000115
不少 m	56	0.000115
原则 n	56	0.000115
d 发展	56	0.000115
ud 历史	56	0.000115
当 dang1	56	0.000115
003 003	56	0.000115
时 t	56	0.000115
吴 nrf	56	0.000115
ud 经济	56	0.000115
006 001	56	0.000115
006 002	56	0.000115
vt 我	56	0.000115
钱 nrf	56	0.000115
支持 vt	56	0.000115
速度 n	56	0.000115
之一 rz	56	0.000115
vt 国家	56	0.000115
一 d	56	0.000115
wd 其	56	0.000115
近 vt	56	0.000115
个人 n	56	0.000115
用 vt	56	0.000115
以色列 ns	56	0.000115
安 nrf	56	0.000115
19980107 01	56	0.000115
001 005	55	0.000113
014 m	55	0.000113
002 004	55	0.000113
理论 n	55	0.000113
wd 更	55	0.000113
n 被	55	0.000113
n 张	55	0.000113
了解 vt	55	0.000113
管理 vt	55	0.000113
宣传 vn	55	0.000113
作为 vl	55	0.000113
减少 vt	55	0.000113
wj 据	55	0.000113
设备 n	55	0.000113
进程 n	55	0.000113
vi 后	55	0.000113
v wd	55	0.000113
ud 人	55	0.000113
d 地	55	0.000113
来自 vt	55	0.000113
伊拉克 ns	55	0.000113
11 002	55	0.000113
19980107 11	55	0.000113
参与 vt	54	0.000111
能够 vu	54	0.000111
d 没有	54	0.000111
讲 vt	54	0.000111
003 004	54	0.000111
01 005	54	0.000111
an wj	54	0.000111
党委 n	54	0.000111
帮助 vt	54	0.000111
m 级	54	0.000111
wky 的	54	0.000111
贫困 a	54	0.000111
c wyz	54	0.000111
03 003	54	0.000111
vt 进	54	0.000111
青年 n	54	0.000111
vt 是	54	0.000111
调整 vn	54	0.000111
依法 d	54	0.000111
报告 n	54	0.000111
第三 m	54	0.000111
外汇 n	54	0.000111
需要 vt	54	0.000111
亩 qd	54	0.000111
vt 典型	54	0.000111
收费 vn	54	0.000111
12 001	54	0.000111
qt wj	53	0.000109
国民经济 n	53	0.000109
全局 n	53	0.000109
改变 vt	53	0.000109
或者 c	53	0.000109
创造 vt	53	0.000109
u wj	53	0.000109
vt 时	53	0.000109
现象 n	53	0.000109
起 f	53	0.000109
通过 vt	53	0.000109
厂 n	53	0.000109
wj wyz	53	0.000109
vu 在	53	0.000109
影响 vt	53	0.000109
